Abbreviation	SMILES
dc[im-1,1]2-4[1i,4i]	C[C@H](CC[C@@H](C)[n+]1ccn(C)c1C)[n+]1ccn(C)c1C
dc[im-1,1]2-4[2chch]	Cc1n(C)cc[n+]1C\C=C/C[n+]1ccn(C)c1C
dc[im-1,1]2-5[3i]	CC(CC[n+]1ccn(C)c1C)CC[n+]1ccn(C)c1C
dc[im-1,1]2-5[3i,3i]	Cc1n(C)cc[n+]1CCC(C)(C)CC[n+]1ccn(C)c1C
dc[im-1,1]2-5[3t]	Cc1n(C)cc[n+]1CCC(CC[n+]1ccn(C)c1C)C(C)(C)C
dc[im-v]2-4	C=Cn1cc[n+](CCCC[n+]2ccn(C=C)c2)c1
dc[im-1ph]2-5	C(CCn1cc[n+](Cc2ccccc2)c1)CCn1cc[n+](Cc2ccccc2)c1
dc[im-1ph]2-12	C(CCCCCCn1cc[n+](Cc2ccccc2)c1)CCCCCn1cc[n+](Cc2ccccc2)c1
dc[im-2oh]2-4	OCCn1cc[n+](CCCC[n+]2ccn(CCO)c2)c1
dc[im-2oh]2-5	OCC[n+]1ccn(CCCCCn2cc[n+](CCO)c2)c1
dc[im-1cooh]2-4	OC(=O)Cn1cc[n+](CCCC[n+]2ccn(CC(O)=O)c2)c1
dc[im-1cn]2-4	N#CCn1cc[n+](CCCC[n+]2ccn(CC#N)c2)c1
dc[im-1]2-1[1o1]1	C[n+]1ccn(CCOCCn2cc[n+](C)c2)c1
dc[im-1]2-1[1o1]21	C[n+]1ccn(CCOCCOCCn2cc[n+](C)c2)c1
dc[im-1]2-1[1o1]31	C[n+]1ccn(CCOCCOCCOCCn2cc[n+](C)c2)c1
dc[im-1]2-1[1o1]41	C[n+]1ccn(CCOCCOCCOCCOCCn2cc[n+](C)c2)c1
dc[im-4]2-1[1o1]1	CCCC[n+]1ccn(CCOCCn2cc[n+](CCCC)c2)c1
dc[im-3]2-1[1o1]31	CCC[n+]1ccn(CCOCCOCCOCCn2cc[n+](CCC)c2)c1
dc[im-6]2-1[1o1]31	CCCCCC[n+]1ccn(CCOCCOCCOCCn2cc[n+](CCCCCC)c2)c1
dc[im-1,1]2-1[1o1]31	Cc1n(CCOCCOCCOCCn2cc[n+](C)c2C)cc[n+]1C
dc[im-1]-11[n3]1-im-v	C[n+]1ccn(C[C@H](Cn2cc[n+](C=C)c2)N=[N+]=[N-])c1
dc[im-2(1[f])]2-1[1o1]31	FC(F)(F)CC[n+]1ccn(CCOCCOCCOCCn2cc[n+](CCC(F)(F)F)c2)c1
dc[im-3(1[f])]2-1[1o1]31	FC(F)(F)CCC[n+]1ccn(CCOCCOCCOCCn2cc[n+](CCCC(F)(F)F)c2)c1
dc[im-2(4[f])]2-1[1o1]31	FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[n+]1ccn(CCOCCOCCOCCn2cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c2)c1
dc[im-1conh2]2-4	NC(=O)C[n+]1ccn(CCCCn2cc[n+](CC(N)=O)c2)c1
